Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7821918_1	53.61734560890631	49.0	76.0	20.0	36220112.0
SRR7821918_2	58.76790544301065	50.0	76.0	10.0	36220112.0
SRR7821919_1	52.15133112788738	50.0	76.0	20.0	36285942.0
SRR7821919_2	57.14917924824587	50.0	76.0	10.0	36285942.0
SRR7821920_1	56.92563517470343	50.0	76.0	20.0	39982873.0
SRR7821920_2	61.43380944189305	50.0	76.0	10.0	39982873.0
SRR7821921_1	50.81580787293909	49.0	76.0	20.0	40592768.0
SRR7821921_2	56.97491003248377	49.0	76.0	10.0	40592768.0
SRR7821922_1	52.093820033968285	49.0	76.0	20.0	37737087.0
SRR7821922_2	55.70653862318251	50.0	76.0	10.0	37737087.0
SRR7821937_1	62.03606964850456	50.0	76.0	20.0	44881449.0
SRR7821937_2	59.87861771804295	50.0	76.0	10.0	44881449.0
SRR7821938_1	64.07392691013997	53.0	76.0	20.0	40988016.0
SRR7821938_2	60.34011534780141	53.0	76.0	10.0	40988016.0
SRR7821939_1	61.84940860112764	49.0	76.0	20.0	46697727.0
SRR7821939_2	60.030008411321596	49.0	76.0	10.0	46697727.0
SRR7821949_1	75.27639093430275	49.0	75.49987039648762	20.0	29659690.0
SRR7821949_2	65.13611355585387	49.0	75.49558120803016	20.0	29659690.0
SRR7821950_1	73.57740267097476	50.0	75.49457255081204	20.0	22228490.0
SRR7821950_2	62.41169881629195	50.0	75.49081687510038	20.0	22228490.0
SRR7821951_1	72.10532443494756	49.0	75.4961443771264	20.0	32968214.0
SRR7821951_2	61.53520007768915	50.0	75.49120170719591	20.0	32968214.0
SRR7821952_1	68.98019261072804	49.0	75.49683496723476	20.0	22952527.0
SRR7821952_2	57.65752666788113	49.0	75.48848717180465	20.0	22952527.0
SRR7821953_1	70.81720767250376	49.0	75.50059697644177	20.0	21144888.0
SRR7821953_2	60.812882821189106	49.0	75.49139352263299	20.0	21144888.0
SRR7821968_1	88.32431909615892	49.0	75.53330530830205	20.0	30774869.0
SRR7821968_2	83.55360410628244	49.0	75.51459695896675	20.0	30774869.0
SRR7821969_1	86.54816595850305	52.0	75.51328490418177	30.0	18844848.0
SRR7821969_2	79.38781279490394	53.0	75.49775317901211	30.0	18844848.0
SRR7821970_1	88.72374745520469	50.0	75.52338323890592	20.0	25454472.0
SRR7821970_2	84.6897531446036	50.0	75.5154051123119	20.0	25454472.0
